Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Account),Custom field (Business Value),Custom field (Cost Code),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Firmstep Status),Custom field (Firmstep Ticket Number),Custom field (Firmstep Ticket URL),Custom field (Flagged),Custom field (Internal Client:),Custom field (Marval Reference:),Custom field (Mendix modeler version),Custom field (Mendix module),Custom field (Product),Custom field (Rank),Custom field (Requester Name),Custom field (Savings),Custom field (Service Catalogue Description),Custom field (Service Catalogue Name),Custom field (Services),Custom field (Sharepoint URL),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Ticket Raised),Custom field (url)
Connect to iCasework API in Test,IDB-230,33931,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,samwhite,samwhite,2018-06-27,2018-07-26,2018-07-23,2018-07-26,IoT to iCasework - V1.0,,,0,,,,"Goal:- Connect successfully and retrieve any arbitrary data from from ManageMyCases API.Â Â 

Â 

*Documentation for: ManageMyCases > ManageMyRequests*

[http://wave.brighton-hove.gov.uk/sites/BHCC/xd/iC/Shared%20Documents/ManageMyCases/ManageMyRequests%20brochure.pdf]

*Training Site Information*

Â 

*[http://wave.brighton-hove.gov.uk/sites/BHCC/xd/iC/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2fsites%2fBHCC%2fxd%2fiC%2fShared%20Documents%2fTraining&FolderCTID=&View=%7bA0949D43%2dDC69%2d426D%2d8E95%2dF1233EED8AC1%7d*]",,RichardAClarke,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-161,,,,,,,,,,,,0|hzzzqe:ow4,,,,,,,4. Put CCR into Production,5. PR001 UAT & PR002 LIVE,6. IoT Business Rules & CC I/O,,8,,
API Publishing Procedure,IDB-229,33925,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,Matthew.BashirWhite,samwhite,samwhite,2018-06-25,2018-07-13,2018-07-27,2018-07-13,Software Development Life Cycle - V1.1,,,0,,,,"Document a process to create API users and link the user to that API and that API only to the user account.

Document on Confluence.Â 

Platform to carry out the process and sign off the documentation.

Â ",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzqf:iyo,,,,,,,5. PR001 UAT & PR002 LIVE,,,,2,,
Amend stored procedure to return if a response for attempted duplicate insert,IDB-228,33924,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-06-25,2018-07-06,2018-07-27,2018-07-06,[PR001] CCR Update Address - V1.0,,,0,,,,"Stored procedure returns a response based on insert logic.Â 

Compound key violation:
 * PERP ID
 * UPRN
 * Last Update",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzpu:,,,,,,,4. Put CCR into Production,,,,2,,
PR001: CAB Approval - CAB [Standard Change],IDB-227,33923,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,samwhite,samwhite,2018-06-25,2018-07-13,2018-07-27,2018-07-13,[PR001] CCR Update Address - V1.0,,,0,,,,CAB Approval.Â ,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:i,,,,,,,4. Put CCR into Production,5. PR001 UAT & PR002 LIVE,,,1,,
PR001: CAB Approval - TPAW [Standard Change],IDB-226,33922,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-06-25,2018-07-12,2018-07-27,2018-07-12,[PR001] CCR Update Address - V1.0,,,0,,,,,,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:g,,,,,,,4. Put CCR into Production,5. PR001 UAT & PR002 LIVE,,,3,,
PR001: CAB Approval - IG [Standard Change],IDB-225,33921,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-06-25,2018-07-10,2018-07-27,2018-07-10,[PR001] CCR Update Address - V1.0,,,0,,,,,,olivercurson,RichardAClarke,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqe:i,,,,,,,4. Put CCR into Production,,,,13,,
PR001: E-mail CCR address changes to business customer.,IDB-221,33917,,New Feature,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-06-25,2018-07-03,2018-07-27,2018-07-03,[PR001] CCR Update Address - V1.0,,,0,,,,Email is being received with address changes in given format.,,olivercurson,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzpk:,,,,,,,4. Put CCR into Production,,,,2,,
PR002: Carryout code review for process,IDB-218,33902,,Story,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,samwhite,samwhite,2018-06-25,2018-07-12,2018-07-18,2018-07-06,[PR002] CCR Update Address API - V1.0,,,0,,,,Validation of actionable items.,,kieranrichards,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzph:,,,,,,,4. Put CCR into Production,,,,8,,
SP002: Automatic method to restore process default log level after using exceptional log levels such as WARNING,IDB-212,33896,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-06-22,2018-07-06,2018-07-27,2018-07-06,Software Development Life Cycle - V1.1,Software Development Life Cycle,,0,,,,Implement DDP's to deal with log levels in the SP002.Â ,,olivercurson,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzpi:,,,,,,,4. Put CCR into Production,,,,2,,
PR002: Carry out UAT of the CCR update address API to ensure it meets the needs of the business.,IDB-206,33889,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-06-21,2018-07-17,2018-07-27,2018-07-17,[PR002] CCR Update Address API - V1.0,,,0,,,,"* Acceptance criteria to be agreed by Andre Bradford.
 * Acceptance criteria to be met by the process and signed off - demonstrated its updated in the DB (CCR TEST).
 * UAT to be signed off by Andre Bradford.",,kieranrichards,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqf:e,,,,,,,4. Put CCR into Production,5. PR001 UAT & PR002 LIVE,,,5,,
PR001: Carry out UAT of the CCR update process to ensure it meets the needs of the business.,IDB-205,33888,,Task,Test,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,richardbeech,samwhite,samwhite,2018-06-21,2018-07-25,2018-07-27,,[PR001] CCR Update Address - V1.0,,,0,,,,"* Acceptance criteria to be agreed by Charlotte Bennett and Mark Flynn
 * Acceptance criteria to be met by the process and signed off.
 * UAT to be signed off by Charlotte Bennett and Mark Flynn.",,richardbeech,samwhite,,,,,,,,,,,,,IDB-207,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|hzzzqe:oy,,,,,,,4. Put CCR into Production,5. PR001 UAT & PR002 LIVE,,,8,,
Create documentation for ClearCore,IDB-200,33874,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,christineproe,samwhite,samwhite,2018-06-19,2018-06-26,2018-07-27,2018-06-21,ClearCore Data Processing - V1.0,,,0,,,,,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:ex,,,,,,,3. Get clear on ClearCore,,,,5,,
Create a Mendix front-end application ready to consume CCR Update Address API,IDB-199,33872,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,samwhite,samwhite,samwhite,2018-06-15,2018-07-12,2018-07-27,2018-06-19,[PR002] CCR Update Address API - V1.0,,,0,,,,,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:e9,,,,,,,3. Get clear on ClearCore,,,,3,,
Connect to the Synetica API in the Boomi Platform to retrieve sensor data.,IDB-188,33856,,Task,Discovery,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,kieranrichards,samwhite,samwhite,2018-06-13,2018-07-27,2018-07-25,,IoT to iCasework - V1.0,,,0,,,,"Target a particular sensor by connecting to the cloud backend using a Boomi Process.

Assumes that we have made a successful connection from the Boomi atom via Restlet

* could be any sensor
* usable data in the expected JSON format
* doesn't use sequential queries or logical tests - just makes a known query work

Â ",,richardbeech,samwhite,,,,,,,,,,,,,,,,IDB-276,IDB-277,,,,,,,,,,,,,IDB-161,,,,,,,,,,,,0|hzzzqe:oww,,,,,,,6. IoT Business Rules & CC I/O,,,,3,,
Obtain DPIA for datasets connected to ClearCore,IDB-181,33841,,Task,Development,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,christineproe,samwhite,samwhite,2018-06-11,2018-07-25,2018-07-27,,ClearCore Data Processing - V1.0,,,0,,,,"* ascertain the list of DPIAs we need to obtain
 * create a standard method for adding DPIAs in the future for other datasets

Â 

Know we need at least these:
 * overarching DPIA for Clearcore
 * overarching DPIA for Boomi
 * DPIA iWorld
 * DPIA CCR",,kieranrichards,samwhite,,,,,,,,,,,,,,,,IDB-254,IDB-255,,,,,,,,,,,,,IDB-158,,,,,,,,,,,,0|hzzzqe:oxi,,,,,,,3. Get clear on ClearCore,6. IoT Business Rules & CC I/O,,,5,,
Analysis: iWorld to ClearCore automation task,IDB-178,33838,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,samwhite,samwhite,2018-06-11,2018-06-26,2018-07-27,2018-06-26,ClearCore Data Processing - V1.0,,,0,,,,Gather and collate analysis for the automation task of data from iWorld to ClearCore.Â ,,kieranrichards,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:cr,,,,,,,3. Get clear on ClearCore,,,,8,,
iWorld API Understanding,IDB-177,33837,,Task,To Do,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,,samwhite,samwhite,2018-06-11,2018-06-22,2018-07-27,,,,,0,,,,"API overview for iWorld to understand how its used in current projects and its potential for iPaaS.Â 
 * How can we populate iWorld with synthetic data for matching and non-matching records.",,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|o00007:w,,,,,,,,,,,8,,
"As a JID, I need an Introduction to Mendix to understand how it consumes API's.",IDB-175,33835,,Story,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,samwhite,samwhite,samwhite,2018-06-11,2018-06-26,2018-07-27,2018-06-22,Software Development Life Cycle - V1.1,,,0,,,,Introduction to Mendix to understand how it consumes API's.,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:ei,,,,,,,3. Get clear on ClearCore,,,,3,,
"As a developer, I need an API to allow my applications (e.g. Mendix) to publish address changes to CCR.",IDB-173,33833,,Story,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,samwhite,samwhite,2018-06-11,2018-07-12,2018-07-27,2018-06-22,[PR002] CCR Update Address API - V1.0,,,0,,,,"An API is needed to allow external (outside of iPaaS) applications to publish address changes in the CCR database. The API needs to be secure and published internally.Â 

Â 

This doc explains why this is valuable:Â [http://wave.brighton-hove.gov.uk/LGCSDocumentLibrary/Health%20and%20safety/CCR/Updating%20a%20CCR%20Address%2013.03.17.docx]

Â 

*Updating a Client of Concern Address*

{color:#d04437}The nature of the Achieve system means that the only way to show a change of address for a perpetrator on the Clients of Concern Register (CCR) is to raise a new incident form{color}.Â  This process is being reviewed by ICT but in the interim staff will need to record details as a new Violence & Aggression incident as follows:
 * *Part A* (incident details) type in words to the effect that Mr/Mrs ** is known to have moved from **** to ****. Whatever is typed here shows on CCR.
 * *Perpetrator details* â€“ select the perpetrator name from the drop down list and over-type the address fields as relevant.
 * *Manager Review* section â€“ type in â€˜Address change onlyâ€™ into each box. This does not show on CCR and so can be kept brief.
 * *Manager Review* â€“ the questionnaire still needs to be completed as known
 * *Gatekeeper Review* - can just agree with manager and tick â€˜update CCRâ€™.
 * *Letter task* â€“ Manager can select no letter being sent.
 * *The Health & Safety Team* â€“ can take action to exclude the report from statistics.

These steps represent a lengthy workaround that could be solved with a much simpler feature.",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-187,,,,,,,,,,,,0|i03nlc:e,,,,,,,3. Get clear on ClearCore,,,,8,,
PR001: External Code Review: Dell to Code Review,IDB-172,33832,,Task,Test,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,richardbeech,samwhite,samwhite,2018-06-11,2018-07-18,2018-07-27,,Software Development Life Cycle - V1.1,,,0,Blocked,,,"Organise and execute by Dell a code review for [PR001].
 * Liaise with Mike Duzen to arrange time with Dell to carry out the code review.Â Â ",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impediment,,,,,,0|hzzzqf:nc,,,,,,,3. Get clear on ClearCore,,,,1,,
Code Review: logging process [SP002],IDB-171,33831,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-06-08,2018-06-26,2018-07-27,2018-06-25,Software Development Life Cycle - V1.1,,,0,,,,Complete code review of [SP002],,olivercurson,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:b4,,,,,,,3. Get clear on ClearCore,,,,8,,
Logger training session and documentation,IDB-169,33829,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-06-08,2018-06-26,2018-07-27,2018-06-25,Software Development Life Cycle - V1.1,,,0,,,,,,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-135,,,,,,,,,,,,0|i03nlc:b9,,,,,,,3. Get clear on ClearCore,,,,3,,
Organise a ClearCore consultancy day to understand ClearCore,IDB-167,33824,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,christineproe,samwhite,samwhite,2018-06-07,2018-06-26,2018-07-27,2018-06-15,ClearCore Data Processing - V1.0,,,0,,,,"Compile a list of questions on Confluence.

Invite CC in, book room and hold session.",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-126,,,,,,,,,,,,0|i03nlc:ai,,,,,,,3. Get clear on ClearCore,,,,3,,
Improve the logger process [SP002] to collect metrics,IDB-165,33822,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-06-07,2018-06-26,2018-07-27,2018-06-18,Software Development Life Cycle - V1.1,Software Development Life Cycle,,0,,,,"Improve the Logger [SP002] to include a method to include metrics.
 # *Output data to 'metrics' folder*
 Each process gets its own folder, and within that, files are organised by date range, (TBD) which will be part of the filename.
 # *Insert data into separate metrics database*
 It is not necessary within a DB to establish this organisation, since we have access to SQL to filter output.

[~NeilCholerton] to provide any additional metrics if needed.

*Acceptance Criteria:*

File structure in place and metrics written to DB.",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:b2,,,,,,,3. Get clear on ClearCore,,,,3,,
Create a iPaaS template process to be used for all new processes,IDB-164,33821,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,samwhite,samwhite,2018-06-07,2018-06-26,2018-07-27,2018-06-18,Software Development Life Cycle - V1.1,,,0,,,,Create a template process to be used by all new processes that incorporates common components and sub processes.Â Â ,,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-135,,,,,,,,,,,,0|i03nlc:bi,,,,,,,3. Get clear on ClearCore,,,,1,,
Formulate a formal liaison process with RBTECH ,IDB-163,33820,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,samwhite,samwhite,samwhite,2018-06-07,2018-06-21,2018-07-27,2018-06-21,,,,0,,,,A formal liaison process needs to take place with RBTECH to allow us to utilise resources within RBTECH whilst developing and to allow us to carry out adequate testing.Â Â ,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,IDB-177,IDB-178,,,,,,,,,,,,,,,,,,0|i03nlc:c,,,,,,,3. Get clear on ClearCore,,,,3,,
"As a data solutions team member, I need the REC302 data from iWorld to be automatically dropped daily into ClearCore for processing.",IDB-162,33819,,Story,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,NeilCholerton,RichardAClarke,2018-06-07,2018-06-29,2018-07-27,2018-06-29,ClearCore Data Processing - V1.0,,,0,,,,"Automation of the iWorld to Clearcore data transfer.

Need to document existing data transfer process (or locate documentation)Â 

Need to run the transfer on demand for TEST, but on a schedule TBC in LIVE.

Currently - we think the LOCTA processes are run on demand manually in iWorld, producing files that are then picked up by ClearCore.Â 

Need to agree with RBTech whether we can query by API or trigger the LOCTA files on demand.

Need to understand the LOCTA file format.

!image-2018-06-07-12-28-03-665.png!

Â ",,RichardAClarke,,,,,,,,,,,,,,,,IDB-147,,,,,,,,,,07/Jun/18 12:28 PM;RichardAClarke;image-2018-06-07-12-28-03-665.png;http://wap-jira:8080/secure/attachment/12907/image-2018-06-07-12-28-03-665.png,,,,,,Data Source Automation - iWorld,,,,,,,,,,,0|hzzzq6:,,,,,,,3. Get clear on ClearCore,4. Put CCR into Production,,,3,,
Compile and order candidate data sources for Clearcore,IDB-159,33816,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Highest,Done,kieranrichards,RichardAClarke,RichardAClarke,2018-06-07,2018-06-26,2018-07-27,2018-06-22,ClearCore Data Processing - V1.0,,,0,,,,"Agree the data sources we will connect to ClearCore DEV, based on Schedule of WorksÂ  plus the LLPG - V8.6 section 3.2.1.

Documented how each data source is consumed by ClearCore. Is the input usable and documented. Define: Complete, Consistent, (accurate) valid and current.Â 
 * Complete - every field complete
 * Consistent - Match key fields
 * Valid - does not contain rubbish data
 * Current - recent data
 * Scheduled - is it scheduled and how often.
 * Accurate - Does data reflect reality

Identify the business owner (possibly Information Assets Register - IAR - Pete Bode)

Allow us to add unknown.Â 

Data sources can be found on the SoWÂ on page 7.

Breakdown into smaller tasks - by systems.",,kieranrichards,RichardAClarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-158,,,,,,,,,,,,0|i03nlc:a,,,,,,,3. Get clear on ClearCore,,,,8,,
[Data Source Automation - template],IDB-147,33745,,Task,To Do,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,,garyduckworth,garyduckworth,2018-05-24,2018-06-21,2018-07-27,,,,,0,,,,We need to ensure that all data sources feeding into ClearCore are automated. Some of these may require IPaaS to run and move scheduled data in order to generate the output needed as a ClearCore input. All ClearCore inputs need to be clarified and we also need to confirm that TEST data is being used for the TEST environment and for live (see other task),,garyduckworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-126,,,,,,,,,,,,0|o00007:,,,,,,,,,,,10,,
My Account ID Verification,IDB-146,33744,,Task,To Do,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,,garyduckworth,garyduckworth,2018-05-24,2018-06-21,2018-07-27,,,,,0,,,,We need to understand the My Account ID Verification and whether we use a custom/in-should API. We will need to verify a name and address and return whether this is a true/false match.,,garyduckworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-144,,,,,,,,,,,,0|o00006:z,,,,,,,,,,,8,,
Investigate a number of different and unrelated items,IDB-144,33742,,Epic,To Do,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,,,garyduckworth,garyduckworth,2018-05-24,2018-06-21,2018-07-27,,,,,0,,,,"We need to investigate a number of different and unrelated items as per the tasks. These reflect ongoing work in areas such as iCaseWork, My Account, ID Verification, IoT etc.",,garyduckworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-6,,iCaseWork and My Account,To Do,,,,,,,,,,0|i03osd:,,,,,,,,,,,10,,
Processing Advice for Anonymising ,IDB-143,33741,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,kieranrichards,kieranrichards,2018-05-24,2018-06-06,2018-07-27,2018-06-06,,,,0,,,,"# Arrange a meeting.
 # Understand the impact.
 # Document and distribute knowledge.",,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-142,,,,,,,,,,,,0|i03nlc:hz,,,,,,,2. Improve CCR Process,,,,2,,
Boomi Naming Convention,IDB-141,33739,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,kieranrichards,kieranrichards,2018-05-24,2018-06-22,2018-07-27,2018-05-31,Software Development Life Cycle - V1.0,,,0,,,,"# Discuss
 # Understand
 # Document and update
 # Adopt",,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,30/May/18 10:59 AM;kieranrichards;Naming Convention Notes.docx;http://wap-jira:8080/secure/attachment/12904/Naming+Convention+Notes.docx,,,,,IDB-135,,,,,,,,,,,,0|i03nlc:hy,,,,,,,2. Improve CCR Process,,,,2,,
Formalise the 'Commit' Process for Boomi Processes,IDB-140,33738,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,kieranrichards,kieranrichards,2018-05-24,2018-06-22,2018-07-27,2018-06-08,Software Development Life Cycle - V1.0,,,0,,,,"# Discuss process.
 # Understand process.
 # Document process.
 # Adopt process.",,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-135,,,,,,,,,,,,0|i03nlc:hw,,,,,,,2. Improve CCR Process,,,,2,,
House Keeping on Boomi Platform,IDB-139,33737,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,,kieranrichards,kieranrichards,2018-05-24,2018-06-08,2018-07-27,2018-06-08,,,,0,,,,"# Group process review and understanding.Â 
 # Follow naming convention.
 # Clear the canvas.Â ",,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-135,,,,,,,,,,,,0|i03nlc:hr,,,,,,,2. Improve CCR Process,,,,1,,
Code Review Process,IDB-138,33736,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,kieranrichards,kieranrichards,2018-05-24,2018-06-22,2018-07-27,2018-05-30,Software Development Life Cycle - V1.0,,,0,,,,"# Code review meeting to outline process.
 # Identify improvements, faults, design issues and sanity check with the meeting.
 # Generate a 'Code Review Agreement'.",,kieranrichards,richardbeech,,,,,,,,,,,,,,,,,,,,,,,,,29/May/18 10:48 AM;richardbeech;An Introduction to Code Reviews.pptx;http://wap-jira:8080/secure/attachment/12900/An+Introduction+to+Code+Reviews.pptx,,,,,IDB-135,,,,,,,,,,,,0|i03nlc:hi,,,,,,,2. Improve CCR Process,,,,5,,
Define and run functional test cases,IDB-137,33735,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,kieranrichards,kieranrichards,2018-05-24,2018-06-06,2018-07-27,2018-06-06,,,,0,,,,"# Understand the data to be tested.
 # Define positive and negative tests end to end.Â 
 # Run positive and negative tests and verify results.
 # Update Confluence with test cases and results.",,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-135,,,,,,,,,,,,0|i03nlc:h,,,,,,,2. Improve CCR Process,,,,5,,
"Permanent Boomi DIR for INPUT, OUT and LOGGING ",IDB-134,33732,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,samwhite,samwhite,2018-05-24,2018-05-31,2018-07-27,2018-05-31,,,,0,,,,"# Raise a MARVAL call.
 # Create a Boomi DIR for INPUT on the Boomi Atom [TEST].
 # Create a Boomi DIR for OUTPUT on the Boomi AtomÂ [TEST].
 # Create a Boomi DIR for LOGGING on the Boomi AtomÂ [TEST].
 # JID Team to have RW access to the DIR.
 # Boomi Service account to have RW access to the DIR.
 # DIR shared for relevant parties and verify access.
 # Create DISK Connector.",,olivercurson,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlb:i,,,,,,,2. Improve CCR Process,,,,1,,
Investigation of Atmosphere function for identifying duplicated records,IDB-132,33730,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,samwhite,samwhite,2018-05-24,2018-05-30,2018-07-27,2018-05-30,,,,0,,,,"# Research the function.
 # Understand the function.
 # Decide if it can be used.
 # Implement if necessary.",,kieranrichards,richardbeech,samwhite,,,,,,,,,,,,,,,,,,,,,,,,29/May/18 11:37 AM;richardbeech;atomsphere dedupe.png;http://wap-jira:8080/secure/attachment/12902/atomsphere+dedupe.png,,,,,,,,,,,,,,,,,0|i03nlb:,,,,,,,2. Improve CCR Process,,,,2,,
Confirm the Usability of Test Data,IDB-131,33729,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,kieranrichards,kieranrichards,2018-05-24,2018-06-07,2018-07-27,2018-06-07,,,,0,,,,"Test data for CCR, updatesBV and updatesXref should be truly representative of live data, same specification, same size, ideally anonymised.Â 

Just identify issues.",,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:g,,,,,,,2. Improve CCR Process,,,,8,,
